2025-06-19 14:21:34 INFO     {'input_dim': 88, 'z_dim': 10, 'batch_size': 20, 'epochs': 1000, 'min_epochs': 2, 'lr': 0.0003, 'beta1': 0.96, 'beta2': 0.999, 'clip_norm': 20.0, 'anneal_epochs': 1000, 'min_anneal': 0.1}
2025-06-19 14:32:43 INFO     [Epoch 0280]		(dt = 23.713 sec)
2025-06-19 14:32:43 INFO     [train epoch 00000280]  0.02918750
2025-06-19 14:32:44 INFO     [test epoch 00000280]  0.03063454
2025-06-19 14:33:07 INFO     [Epoch 0290]		(dt = 23.623 sec)
2025-06-19 14:33:07 INFO     [train epoch 00000290]  0.02855705
2025-06-19 14:33:07 INFO     [test epoch 00000290]  0.02997103
2025-06-19 14:33:31 INFO     [Epoch 0300]		(dt = 23.869 sec)
2025-06-19 14:33:31 INFO     [train epoch 00000300]  0.02794482
2025-06-19 14:33:31 INFO     [test epoch 00000300]  0.02932843
2025-06-19 14:33:55 INFO     [Epoch 0310]		(dt = 23.603 sec)
2025-06-19 14:33:55 INFO     [train epoch 00000310]  0.02734723
2025-06-19 14:33:55 INFO     [test epoch 00000310]  0.02870617
2025-06-19 14:34:18 INFO     [Epoch 0320]		(dt = 23.896 sec)
2025-06-19 14:34:18 INFO     [train epoch 00000320]  0.02677894
2025-06-19 14:34:19 INFO     [test epoch 00000320]  0.02810410
2025-06-19 14:34:42 INFO     [Epoch 0330]		(dt = 23.503 sec)
2025-06-19 14:34:42 INFO     [train epoch 00000330]  0.02622517
2025-06-19 14:34:42 INFO     [test epoch 00000330]  0.02752177
2025-06-19 14:35:06 INFO     [Epoch 0340]		(dt = 23.667 sec)
2025-06-19 14:35:06 INFO     [train epoch 00000340]  0.02568432
2025-06-19 14:35:06 INFO     [test epoch 00000340]  0.02695862
2025-06-19 14:35:29 INFO     [Epoch 0350]		(dt = 23.647 sec)
2025-06-19 14:35:29 INFO     [train epoch 00000350]  0.02516918
2025-06-19 14:35:30 INFO     [test epoch 00000350]  0.02641431
2025-06-19 14:35:53 INFO     [Epoch 0360]		(dt = 23.946 sec)
2025-06-19 14:35:53 INFO     [train epoch 00000360]  0.02466335
2025-06-19 14:35:54 INFO     [test epoch 00000360]  0.02588824
2025-06-19 14:36:17 INFO     [Epoch 0370]		(dt = 23.674 sec)
2025-06-19 14:36:17 INFO     [train epoch 00000370]  0.02417872
2025-06-19 14:36:17 INFO     [test epoch 00000370]  0.02537979
2025-06-19 14:36:41 INFO     [Epoch 0380]		(dt = 23.738 sec)
2025-06-19 14:36:41 INFO     [train epoch 00000380]  0.02370723
2025-06-19 14:36:41 INFO     [test epoch 00000380]  0.02488853
2025-06-19 14:37:05 INFO     [Epoch 0390]		(dt = 23.883 sec)
2025-06-19 14:37:05 INFO     [train epoch 00000390]  0.02325961
2025-06-19 14:37:05 INFO     [test epoch 00000390]  0.02441411
2025-06-19 14:37:28 INFO     [Epoch 0400]		(dt = 23.736 sec)
2025-06-19 14:37:28 INFO     [train epoch 00000400]  0.02282281
2025-06-19 14:37:29 INFO     [test epoch 00000400]  0.02395553
2025-06-19 14:37:52 INFO     [Epoch 0410]		(dt = 23.772 sec)
2025-06-19 14:37:52 INFO     [train epoch 00000410]  0.02239130
2025-06-19 14:37:52 INFO     [test epoch 00000410]  0.02351264
2025-06-19 14:38:16 INFO     [Epoch 0420]		(dt = 23.834 sec)
2025-06-19 14:38:16 INFO     [train epoch 00000420]  0.02198912
