
2025-06-19 17:16:42 INFO     {'input_dim': 88, 'z_dim': 100, 'emission_dim': 100, 'trans_dim': 200, 'rnn_dim': 600, 'temp': 1.0, 'dropout': 0.5, 'batch_size': 20, 'epochs': 500, 'min_epochs': 2, 'lr': 0.0003, 'beta1': 0.96, 'beta2': 0.999, 'clip_norm': 20.0, 'weight_decay': 2.0, 'anneal_epochs': 1000, 'min_anneal': 0.1}
2025-06-19 17:33:35 INFO     [test epoch 00000270]  0.00063512
2025-06-19 17:34:13 INFO     [Epoch 0280]		(dt = 38.751 sec)
2025-06-19 17:34:13 INFO     [train epoch 00000280]  0.00060320
2025-06-19 17:34:14 INFO     [test epoch 00000280]  0.00063487
2025-06-19 17:34:51 INFO     [Epoch 0290]		(dt = 38.392 sec)
2025-06-19 17:34:51 INFO     [train epoch 00000290]  0.00060307
2025-06-19 17:34:52 INFO     [test epoch 00000290]  0.00063439
2025-06-19 17:35:30 INFO     [Epoch 0300]		(dt = 38.513 sec)
2025-06-19 17:35:30 INFO     [train epoch 00000300]  0.00060301
2025-06-19 17:35:31 INFO     [test epoch 00000300]  0.00063407
2025-06-19 17:36:08 INFO     [Epoch 0310]		(dt = 38.092 sec)
2025-06-19 17:36:08 INFO     [train epoch 00000310]  0.00060295
2025-06-19 17:36:09 INFO     [test epoch 00000310]  0.00063386
2025-06-19 17:36:46 INFO     [Epoch 0320]		(dt = 37.961 sec)
2025-06-19 17:36:46 INFO     [train epoch 00000320]  0.00060291
2025-06-19 17:36:47 INFO     [test epoch 00000320]  0.00063378
2025-06-19 17:37:24 INFO     [Epoch 0330]		(dt = 38.387 sec)
2025-06-19 17:37:24 INFO     [train epoch 00000330]  0.00060289
2025-06-19 17:37:25 INFO     [test epoch 00000330]  0.00063364
2025-06-19 17:38:03 INFO     [Epoch 0340]		(dt = 38.572 sec)
2025-06-19 17:38:03 INFO     [train epoch 00000340]  0.00060291
2025-06-19 17:38:04 INFO     [test epoch 00000340]  0.00063349
2025-06-19 17:38:42 INFO     [Epoch 0350]		(dt = 38.771 sec)
2025-06-19 17:38:42 INFO     [train epoch 00000350]  0.00060309
2025-06-19 17:38:43 INFO     [test epoch 00000350]  0.00063404
2025-06-19 17:39:20 INFO     [Epoch 0360]		(dt = 38.536 sec)
2025-06-19 17:39:20 INFO     [train epoch 00000360]  0.00060290
2025-06-19 17:39:21 INFO     [test epoch 00000360]  0.00063360
2025-06-19 17:39:59 INFO     [Epoch 0370]		(dt = 38.680 sec)
2025-06-19 17:39:59 INFO     [train epoch 00000370]  0.00060277
2025-06-19 17:40:00 INFO     [test epoch 00000370]  0.00063323
2025-06-19 17:40:38 INFO     [Epoch 0380]		(dt = 39.064 sec)
2025-06-19 17:40:38 INFO     [train epoch 00000380]  0.00060277
2025-06-19 17:40:39 INFO     [test epoch 00000380]  0.00063323
2025-06-19 17:41:16 INFO     [Epoch 0390]		(dt = 38.544 sec)
2025-06-19 17:41:16 INFO     [train epoch 00000390]  0.00060274
2025-06-19 17:41:17 INFO     [test epoch 00000390]  0.00063332
2025-06-19 17:41:55 INFO     [Epoch 0400]		(dt = 38.566 sec)
2025-06-19 17:41:55 INFO     [train epoch 00000400]  0.00060274
2025-06-19 17:41:56 INFO     [test epoch 00000400]  0.00063311
2025-06-19 17:42:34 INFO     [Epoch 0410]		(dt = 38.930 sec)
2025-06-19 17:42:34 INFO     [train epoch 00000410]  0.00060275
2025-06-19 17:42:35 INFO     [test epoch 00000410]  0.00063346
2025-06-19 17:43:13 INFO     [Epoch 0420]		(dt = 39.147 sec)
2025-06-19 17:43:13 INFO     [train epoch 00000420]  0.00060277
2025-06-19 17:43:14 INFO     [test epoch 00000420]  0.00063314
2025-06-19 17:43:52 INFO     [Epoch 0430]		(dt = 38.834 sec)
2025-06-19 17:43:52 INFO     [train epoch 00000430]  0.00060283
2025-06-19 17:43:53 INFO     [test epoch 00000430]  0.00063305
2025-06-19 17:44:31 INFO     [Epoch 0440]		(dt = 38.838 sec)
2025-06-19 17:44:31 INFO     [train epoch 00000440]  0.00060268
2025-06-19 17:44:32 INFO     [test epoch 00000440]  0.00063295
2025-06-19 17:45:09 INFO     [Epoch 0450]		(dt = 38.638 sec)
2025-06-19 17:45:09 INFO     [train epoch 00000450]  0.00060265
2025-06-19 17:45:10 INFO     [test epoch 00000450]  0.00063289
2025-06-19 17:45:48 INFO     [Epoch 0460]		(dt = 38.735 sec)
2025-06-19 17:45:48 INFO     [train epoch 00000460]  0.00060264
2025-06-19 17:45:49 INFO     [test epoch 00000460]  0.00063285
2025-06-19 17:46:27 INFO     [Epoch 0470]		(dt = 38.443 sec)
2025-06-19 17:46:27 INFO     [train epoch 00000470]  0.00060268
2025-06-19 17:46:27 INFO     [test epoch 00000470]  0.00063290
2025-06-19 17:47:05 INFO     [Epoch 0480]		(dt = 38.730 sec)
2025-06-19 17:47:05 INFO     [train epoch 00000480]  0.00060269
2025-06-19 17:47:06 INFO     [test epoch 00000480]  0.00063292
2025-06-19 17:47:44 INFO     [Epoch 0490]		(dt = 38.864 sec)
2025-06-19 17:47:44 INFO     [train epoch 00000490]  0.00060272
2025-06-19 17:47:45 INFO     [test epoch 00000490]  0.00063307
